Type,Price/m,Bedrooms,Location,Area,URL
house,K10000,3,,Lusaka | silverest,https://sakilahomes.com/post/2470/3-bedroom-silverest-k10000/
Flat,K7000,3,,Lusaka | makeni,https://sakilahomes.com/post/2471/3-bedroom--makeni--k7000/
Flat,K6500,2,,Lusaka | chalala,https://sakilahomes.com/post/2472/2-bedroom-chalala-k6500/
Flat,K7000,2,,Lusaka | makeni,https://sakilahomes.com/post/2473/-2-bedroom-makeni--k7000/
Flat,K7500,2,,Lusaka | makeni,https://sakilahomes.com/post/2474/2-bedroom-makeni--k7500/
Flat,K8000,3,,Lusaka | meanwood,https://sakilahomes.com/post/2475/3-bedroom-meanwood-ibex--k8000/
inside_room,K2000,1,,Lusaka | kaunda_square,https://sakilahomes.com/post/2476/inside-room--kaunda-square-k2000/
bedsitter,K4000,1,,Lusaka | avondale,https://sakilahomes.com/post/2477/bedsitter--avondale-k4000/
house,K10000,3,,Lusaka | makeni,https://sakilahomes.com/post/2478/3-bedroom-makeni--k10000/
Flat,K8000,3,,Lusaka | lilayi,https://sakilahomes.com/post/2479/3-bedroom-lilayi-k8000/
Flat,K6500,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2480/2-bedroom-ibex-hill--k6500/
Flat,K8500,3,,Lusaka | libala-south,https://sakilahomes.com/post/2481/3-bedroom-libala-south--k8500/
Flat,K7500,2,,Lusaka | chalala,https://sakilahomes.com/post/2482/2-bedroom-chalala--k7500/
house,K8000,3,,Lusaka | libala-south,https://sakilahomes.com/post/2483/3-bedroom-libala-south--k8000/
Flat,K4000,2,,Lusaka | chalala,https://sakilahomes.com/post/2484/2-bedroom--chalala--k4000/
house,K6500,3,,Lusaka | silverest,https://sakilahomes.com/post/2485/3-bedroom--silverest-k6500/
Flat,K7000,3,,Lusaka | chalala,https://sakilahomes.com/post/2418/3-bedroom-chalala-k7000/
Flat,K4500,1,,Lusaka | new kasama,https://sakilahomes.com/post/2419/1-bedroom-new-kasama-k4500/
Flat,K6300,2,,Lusaka | chalala,https://sakilahomes.com/post/2420/2-bedroom-chalala-k6300/
Flat,K8500,3,,Lusaka | ibex hill,https://sakilahomes.com/post/2421/3-bedroom-ibex-hill--k8500/
Flat,K5000,2,,Lusaka | chalala,https://sakilahomes.com/post/2422/2-bedroom-chalala-k5000/
Flat,K4500,2,,Lusaka | meanwood ndeke,https://sakilahomes.com/post/2423/2-bedroom-mean-wood-ndeke-k4500/
Flat,K6500,2,,Lusaka | lilayi,https://sakilahomes.com/post/2424/2-bedroom-lilayi-k6500/
inside_room,K1850,1,,Lusaka | chamba valley,https://sakilahomes.com/post/2425/inside-room--chamba-valley-k1850/
house,K6000,3,,Lusaka | libala-south,https://sakilahomes.com/post/2426/3-bedroom-libala-south--k6000/
inside_room,K1500,1,,Lusaka | chilenje,https://sakilahomes.com/post/2427/inside-room--chilenje-k1500/
Flat,K5500,2,,Lusaka | chalala,https://sakilahomes.com/post/2428/2-bedroom-chalala--k5500/
house,K5000,3,,Lusaka | chalala,https://sakilahomes.com/post/2429/3-bedroom-silverest--k5000/
Flat,K3700,1,,Lusaka | lilayi,https://sakilahomes.com/post/2430/1-bedroom-lilayi-k3700/
bedsitter,K3500,1,,Lusaka | kalingalinga,https://sakilahomes.com/post/2431/bedsitter-kalingalinga-k3500/
Flat,K7500,2,,Lusaka | lilayi,https://sakilahomes.com/post/2432/2-bedroom-lilayi-k7500/
Flat,K8500,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2433/2-bedroom-ibex-hill--k8500/
Flat,K8500,2,,Lusaka | salama park,https://sakilahomes.com/post/2368/2-bedroom--salama-park--k8500/
Flat,K10000,3,,Lusaka | meanwood,https://sakilahomes.com/post/2369/3-bedroom--meanwood-ibex--k10000/
house,K3600,1,,Lusaka | makeni,https://sakilahomes.com/post/2370/1-bedroom--makeni--k3600/
Flat,K4500,1,,Lusaka | makeni,https://sakilahomes.com/post/2371/1-bedroom--makeni--k4500/
Flat,K4500,2,,Lusaka | chalala,https://sakilahomes.com/post/2372/2-bedroom--chalala--k-4500/
